Year;Nationality;الجنسية;Country;الدولة;Gender;النوع;Number of Students
2021/2022;The Rest of the Arab Countries;باقي الدول العربية;Mouritani;موريتانيا;Female;أنثى;31
2021/2022;Other Countries;بلدان أخرى;Pakistan;باكستان;Male;ذكر;367
2020/2021;The Rest of the Arab Countries;باقي الدول العربية;Yemen;اليمن;Female;أنثى;793
2020/2021;The Rest of the Arab Countries;باقي الدول العربية;Jordan;الأردن;Male;ذكر;413
2019/2020;The Rest of the Arab Countries;باقي الدول العربية;Yemen;اليمن;Male;ذكر;295
2019/2020;The Rest of the Arab Countries;باقي الدول العربية;Lebanon;لبنان;Female;أنثى;35
2019/2020;The Rest of the Arab Countries;باقي الدول العربية;Sudan;السودان;Male;ذكر;154
2018/2019;Other Countries;بلدان أخرى;United Kingdom;المملكة المتحدة;Female;أنثى;15
2018/2019;Other Countries;بلدان أخرى;India;الهند;Male;ذكر;70
2017/2018;G.C.C;مجلس التعاون الخليجي;United Arab Emirates;الإمارات العربية المتحدة;Female;أنثى;59
2017/2018;The Rest of the Arab Countries;باقي الدول العربية;Sudan;السودان;Female;أنثى;328
2017/2018;Other Countries;بلدان أخرى;Pakistan;باكستان;Female;أنثى;161
2016/2017;G.C.C;مجلس التعاون الخليجي;Oman;عمان;Male;ذكر;36
2016/2017;The Rest of the Arab Countries;باقي الدول العربية;Palestine;فلسطين;Female;أنثى;498
2016/2017;The Rest of the Arab Countries;باقي الدول العربية;Somalia;الصومال;Female;أنثى;74
2015/2016;The Rest of the Arab Countries;باقي الدول العربية;Iraq;العراق;Male;ذكر;82
2015/2016;The Rest of the Arab Countries;باقي الدول العربية;Egypt;مصر;Female;أنثى;650
2015/2016;The Rest of the Arab Countries;باقي الدول العربية;Algeria;الجزائر;Male;ذكر;25
2015/2016;The Rest of the Arab Countries;باقي الدول العربية;Other Arab Countries;الدول العربية الأخرى;Female;أنثى;124
2015/2016;Other Countries;بلدان أخرى;Pakistan;باكستان;Male;ذكر;84
2014/2015;G.C.C;مجلس التعاون الخليجي;Kuwait;الكويت;Male;ذكر;5
2022/2023;The Rest of the Arab Countries;باقي الدول العربية;Somalia;الصومال;Male;ذكر;59
2021/2022;G.C.C;مجلس التعاون الخليجي;United Arab Emirates;الإمارات العربية المتحدة;Male;ذكر;9
2021/2022;G.C.C;مجلس التعاون الخليجي;Kuwait;الكويت;Male;ذكر;21
2021/2022;The Rest of the Arab Countries;باقي الدول العربية;Jordan;الأردن;Female;أنثى;688
2021/2022;The Rest of the Arab Countries;باقي الدول العربية;Syria;سوريا;Male;ذكر;320
2021/2022;The Rest of the Arab Countries;باقي الدول العربية;Tunisia;تونس;Female;أنثى;71
2020/2021;G.C.C;مجلس التعاون الخليجي;Qatar;قطر;Male;ذكر;5369
2020/2021;The Rest of the Arab Countries;باقي الدول العربية;Syria;سوريا;Female;أنثى;447
2019/2020;G.C.C;مجلس التعاون الخليجي;Oman;عمان;Female;أنثى;124
2018/2019;G.C.C;مجلس التعاون الخليجي;Saudi Arabia;المملكة العربية السعودية;Male;ذكر;84
2018/2019;Other Countries;بلدان أخرى;United Kingdom;المملكة المتحدة;Male;ذكر;8
2017/2018;G.C.C;مجلس التعاون الخليجي;Qatar;قطر;Male;ذكر;4101
2017/2018;G.C.C;مجلس التعاون الخليجي;Kuwait;الكويت;Male;ذكر;7
2017/2018;The Rest of the Arab Countries;باقي الدول العربية;Sudan;السودان;Male;ذكر;149
2016/2017;The Rest of the Arab Countries;باقي الدول العربية;Jordan;الأردن;Female;أنثى;479
2016/2017;The Rest of the Arab Countries;باقي الدول العربية;Somalia;الصومال;Male;ذكر;54
2016/2017;Other Countries;بلدان أخرى;Other;أخرى;Male;ذكر;239
2015/2016;G.C.C;مجلس التعاون الخليجي;Bahrain;البحرين;Female;أنثى;177
2015/2016;The Rest of the Arab Countries;باقي الدول العربية;Yemen;اليمن;Male;ذكر;238
2015/2016;The Rest of the Arab Countries;باقي الدول العربية;Other Arab Countries;الدول العربية الأخرى;Male;ذكر;57
2022/2023;The Rest of the Arab Countries;باقي الدول العربية;Other Arab Countries;الدول العربية الأخرى;Female;أنثى;42
2022/2023;Other Countries;بلدان أخرى;Bangladesh;بنغلاديش;Male;ذكر;196
2021/2022;The Rest of the Arab Countries;باقي الدول العربية;Palestine;فلسطين;Female;أنثى;610
2020/2021;G.C.C;مجلس التعاون الخليجي;Bahrain;البحرين;Male;ذكر;85
2020/2021;The Rest of the Arab Countries;باقي الدول العربية;Iraq;العراق;Male;ذكر;80
2020/2021;The Rest of the Arab Countries;باقي الدول العربية;Algeria;الجزائر;Female;أنثى;75
2019/2020;G.C.C;مجلس التعاون الخليجي;Kuwait;الكويت;Female;أنثى;55
2019/2020;The Rest of the Arab Countries;باقي الدول العربية;Palestine;فلسطين;Female;أنثى;401
2018/2019;G.C.C;مجلس التعاون الخليجي;United Arab Emirates;الإمارات العربية المتحدة;Male;ذكر;7
2018/2019;G.C.C;مجلس التعاون الخليجي;Bahrain;البحرين;Male;ذكر;63
2017/2018;The Rest of the Arab Countries;باقي الدول العربية;Other Arab Countries;الدول العربية الأخرى;Female;أنثى;110
2017/2018;Other Countries;بلدان أخرى;Canada;كندا;Male;ذكر;10
2016/2017;G.C.C;مجلس التعاون الخليجي;United Arab Emirates;الإمارات العربية المتحدة;Female;أنثى;57
2016/2017;G.C.C;مجلس التعاون الخليجي;Oman;عمان;Female;أنثى;126
2016/2017;The Rest of the Arab Countries;باقي الدول العربية;Egypt;مصر;Female;أنثى;690
2016/2017;Other Countries;بلدان أخرى;United States;الولايات المتحدة الأمريكية;Female;أنثى;38
2016/2017;Other Countries;بلدان أخرى;United Kingdom;المملكة المتحدة;Male;ذكر;6
2015/2016;G.C.C;مجلس التعاون الخليجي;Bahrain;البحرين;Male;ذكر;67
2015/2016;The Rest of the Arab Countries;باقي الدول العربية;Mouritani;موريتانيا;Female;أنثى;28
2015/2016;Other Countries;بلدان أخرى;Canada;كندا;Male;ذكر;15
2015/2016;Other Countries;بلدان أخرى;Other;أخرى;Male;ذكر;63
2022/2023;G.C.C;مجلس التعاون الخليجي;Kuwait;الكويت;Male;ذكر;22
2022/2023;G.C.C;مجلس التعاون الخليجي;Saudi Arabia;المملكة العربية السعودية;Male;ذكر;147
2022/2023;G.C.C;مجلس التعاون الخليجي;Saudi Arabia;المملكة العربية السعودية;Female;أنثى;595
2022/2023;G.C.C;مجلس التعاون الخليجي;Oman;عمان;Male;ذكر;59
2022/2023;The Rest of the Arab Countries;باقي الدول العربية;Lebanon;لبنان;Male;ذكر;63
2022/2023;The Rest of the Arab Countries;باقي الدول العربية;Tunisia;تونس;Female;أنثى;88
2022/2023;The Rest of the Arab Countries;باقي الدول العربية;Other Arab Countries;الدول العربية الأخرى;Male;ذكر;28
2022/2023;Other Countries;بلدان أخرى;Canada;كندا;Male;ذكر;39
2021/2022;G.C.C;مجلس التعاون الخليجي;United Arab Emirates;الإمارات العربية المتحدة;Female;أنثى;83
2021/2022;G.C.C;مجلس التعاون الخليجي;Bahrain;البحرين;Female;أنثى;168
2021/2022;The Rest of the Arab Countries;باقي الدول العربية;Iraq;العراق;Female;أنثى;148
2021/2022;The Rest of the Arab Countries;باقي الدول العربية;Lebanon;لبنان;Male;ذكر;54
2021/2022;The Rest of the Arab Countries;باقي الدول العربية;Lebanon;لبنان;Female;أنثى;56
2021/2022;Other Countries;بلدان أخرى;United Kingdom;المملكة المتحدة;Male;ذكر;19
2021/2022;Other Countries;بلدان أخرى;United Kingdom;المملكة المتحدة;Female;أنثى;25
2021/2022;Other Countries;بلدان أخرى;Canada;كندا;Male;ذكر;37
2021/2022;Other Countries;بلدان أخرى;Canada;كندا;Female;أنثى;52
2021/2022;Other Countries;بلدان أخرى;India;الهند;Female;أنثى;439
2020/2021;G.C.C;مجلس التعاون الخليجي;Kuwait;الكويت;Male;ذكر;23
2020/2021;The Rest of the Arab Countries;باقي الدول العربية;Yemen;اليمن;Male;ذكر;409
